,exp,time_win (h),link_type,pv/effect,c3pMOD,wDIA,cwDEH,DEN,CLS,c3pMOD_std_error,wDIA_std_error,cwDEH_std_error,DEN_std_error,CLS_std_error
0,MOD,1,#inter,pv,6.818366642539387e-08,0.822508131062088,0.11786317517504033,3.597465183832681e-06,0.4472163125769965,,,,,
1,MOD,1,#inter,effect,0.08068102832347467,-0.00352311848330139,-0.022405646277567942,-0.060608664624092666,-0.012330486539100705,0.014528867960337314,0.016546310696996882,0.01210276595673907,0.012737976545545544,0.01325385597226633
2,MOD,2,#inter,pv,0.000307034371913023,0.041527395148646964,0.14983613392006692,0.0005661292438494225,0.14983613392006692,,,,,
3,MOD,2,#inter,effect,0.08519581720264602,-0.05446165305394827,-0.022826583318646863,-0.047894772965503665,-0.031930961458788897,0.021418822552249386,0.026095218077927064,0.015148570262396242,0.013535430809905066,0.022002031702681904
4,MOD,3,#inter,pv,0.008904437277478514,0.3057459542030819,0.3057459542030819,0.008904437277478514,0.008904437277478514,,,,,
5,MOD,3,#inter,effect,0.07361658339331918,-0.0266216121920237,-0.019822333977369624,-0.04116535192693727,-0.07782298765776757,0.027231700234646942,0.02617913342308953,0.016688496206730425,0.014534480116605773,0.026280131855058314
6,MOD,4,#inter,pv,0.16698646676916154,0.6682127350831393,0.31184087355747536,0.03627005509740261,0.03627005509740261,,,,,
7,MOD,4,#inter,effect,0.04918624569179269,-0.012491395264417567,-0.022277402790026365,-0.03595210054803198,-0.082719982407084,0.03185023161198212,0.031166463436210698,0.01882488430362641,0.014804982181214526,0.029778161934960815
8,MOD,6,#inter,pv,0.38128809267992414,0.49217981463635246,0.38128809267992414,0.09137911179396732,0.01261173566029338,,,,,
9,MOD,6,#inter,effect,0.037329479539461065,-0.026194619258384042,-0.024116018641077746,-0.03182361712803997,-0.13002317858141446,0.03871873998485649,0.039223297215396954,0.02140053463428385,0.016450032092197562,0.0435199710029186
10,DIA,1,#inter,pv,0.0797070640320207,0.6152134237115019,0.8759270449731059,0.8759270449731059,1.4773197898753716e-06,,,,,
11,DIA,1,#inter,effect,0.029255659468207417,-0.016011437823564123,0.001698763402976176,-0.003774623982088379,0.07532630984563442,0.013934754606756434,0.018169776966090262,0.011250210864570924,0.014552361537323187,0.015666850458958027
12,DIA,2,#inter,pv,0.005923316456793851,0.9593912257354682,0.6972113617644331,0.43103241575009,0.030879112362495333,,,,,
13,DIA,2,#inter,effect,0.06620029563058069,-0.0012582611010397119,0.00793775652745498,-0.01749353565613342,0.055893889724219346,0.020325628777381966,0.023867452057685392,0.013807567630584031,0.01642799085802353,0.022271862495619923
14,DIA,3,#inter,pv,0.011137561932232224,0.9994344637692036,0.67049216463421,0.40218504902051677,0.011137561932232224,,,,,
15,DIA,3,#inter,effect,0.07181677758094472,-2.2752236495218484e-05,0.009281754177951101,-0.018700736590865966,0.07646692725977568,0.024174648895036486,0.03500327254977738,0.014870897675681375,0.01677494566861061,0.025043403191022183
16,DIA,4,#inter,pv,0.008430407229290858,0.4090324414392153,0.44616194825084887,0.41341937834765136,0.0019161975340197118,,,,,
17,DIA,4,#inter,effect,0.08990887579471082,-0.03872668889290116,0.012741566127887719,-0.01692984020162522,0.12944718162370294,0.029158558677929238,0.035283935669554255,0.016373974675120705,0.018756316735593942,0.03156576008131006
18,DIA,6,#inter,pv,0.03702498960941432,0.3640583116425519,0.6788128648364583,0.5821505773206335,0.00042210290537539357,,,,,
19,DIA,6,#inter,effect,0.09404281404464158,-0.04525983351177278,0.008015496145696197,-0.013963085706103601,0.1426440686864385,0.03434237604425103,0.039163531329453403,0.01801774273741772,0.020494922384270486,0.03686410355884327
20,DEN,1,#inter,pv,0.2031454201371914,0.8238249611681621,0.8238249611681621,2.8505491909398088e-05,0.015578438899854833,,,,,
21,DEN,1,#inter,effect,-0.020957833168575416,-0.003869390540831901,-0.0026727314143000507,0.05737405605233984,-0.038286255502008204,0.013728787685779602,0.01721755746896607,0.011586051466489852,0.013109008111791153,0.013622730381127952
22,DEN,2,#inter,pv,0.8880359595135576,0.6496061749740889,0.6496061749740889,0.00044759342246322953,0.6496061749740889,,,,,
23,DEN,2,#inter,effect,0.0025026992836255893,-0.014898276526346909,-0.012519226804026711,0.051356536325470194,-0.017784756470543513,0.018099736846954876,0.02128588267264128,0.014177371843273433,0.014043240862484405,0.02105083771213012
24,DEN,3,#inter,pv,0.6635876094701552,0.5927403893057798,0.5927403893057798,0.0012338119821011248,0.5927403893057798,,,,,
25,DEN,3,#inter,effect,0.009427183851901347,0.025234719922918883,-0.013933357316245747,0.04821672640000378,-0.02038307808402302,0.023062417052684102,0.026245231818798207,0.017269793753293853,0.01376526154312757,0.030936879320995307
26,DEN,4,#inter,pv,0.6990313096396134,0.6278408876565167,0.6278408876565167,0.011099894196946963,0.6278408876565167,,,,,
27,DEN,4,#inter,effect,0.008986908258631297,-0.02033415458404037,-0.020762659756141506,0.04299631622618671,-0.02263555321476568,0.025948925203050657,0.02702533946900303,0.018711373417493977,0.015243914660738591,0.03451231240137029
28,DEN,6,#inter,pv,0.5467556725045555,0.778683999441248,0.6384801012311947,0.030569879081826984,0.778683999441248,,,,,
29,DEN,6,#inter,effect,0.03627503313595893,0.009958596796720197,-0.01814222821592221,0.03743567893593633,0.015727257443204017,0.03290767771386117,0.03572698870145069,0.020273264254309656,0.014552645650842569,0.048710287470643175
30,DEH,1,#inter,pv,0.9534870586403771,0.7116908125255001,0.22010717056287374,0.9273257590235806,0.9273257590235806,,,,,
31,DEH,1,#inter,effect,-0.0009312871789981097,-0.019850770113603054,-0.02922727495170764,-0.005498706877628209,0.00824858786646862,0.014847914176969927,0.019600129773628325,0.015830068875228493,0.017323867805433574,0.01762843665470758
32,DEH,2,#inter,pv,0.5391468978930483,0.5391468978930483,0.5270336820264608,0.6614754934362302,0.02460261772486542,,,,,
33,DEH,2,#inter,effect,-0.017538436645656064,-0.022521250859028386,-0.022955770527712128,-0.00796310694742988,0.0783202712436725,0.019517601465799117,0.02866596128415172,0.020222233696469475,0.01948904222804318,0.02630102808332192
34,DEH,3,#inter,pv,0.5437416995918283,0.6058425783338459,0.5437416995918283,0.6739182740735633,0.5437416995918283,,,,,
35,DEH,3,#inter,effect,-0.025039175304665512,-0.01968040326876753,-0.026004563825521267,-0.0076902934544292745,0.04443547034336098,0.023241842630297282,0.029928178757558755,0.024659716158958064,0.020294210981263407,0.039875263816390095
36,DEH,4,#inter,pv,0.3413239092433534,0.7645171899227617,0.40344880159612484,0.7645171899227617,0.40344880159612484,,,,,
37,DEH,4,#inter,effect,-0.05068017369207064,-0.012568265608721731,-0.02951307369600603,-0.005954613259695786,0.05136511851959346,0.026728829274288244,0.03455369748459308,0.027590711780750645,0.022049160974988023,0.04538991568049357
38,DEH,6,#inter,pv,0.3221290494428488,0.9442947744874368,0.6862389535139153,0.9442947744874368,0.9442947744874368,,,,,
39,DEH,6,#inter,effect,-0.06354546406287026,0.013209882551147748,-0.03341340906002334,-0.0043486785258547225,0.004042835078845824,0.03555200589360734,0.03538366145633819,0.03329523051556048,0.023611644039491914,0.06694760784275351
